contrato;objeto;portal_de_compras;data_assinatura;inicio_execucao;termino_execucao;situacao;empresa_principal;cnpj;orgao_entidade_contratante;setor;modalidade_de_licitacao;regime_de_execucao;classificacao;natureza_do_contrato;obras_do_contrato;municipios;dias_originais;dias_aditados;dias_paralisados;dias_atuais;valor_inicial_do_contrato;valor_em_aditivos;valor_total_do_contrato;valor_medido_precos_iniciais;valor_medido_reajuste;total_medido;saldo_contratual;percentual_de_execucao_do_contrato
9418879/2024-A;SUPERVISÃO, MONITORAMENTO, DAS RODOVIAS CONCEDIDAS LOTE 02;Não Disponível;2024-04-09;2025-04-16 00:00:00;2026-04-10 00:00:00;Andamento;CONSOL ENGENHEIROS CONSULTORES LTDA;17210063000175,0;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;RDC;EMPREITADA POR PREÇO UNITÁRIO;Consultoria / Assessoramento;Natureza continuada e/ou conserva; Obra 1 - SUPERVISÃO E MONITORAMENTO DAS RODOVIAS CONCEDIDAS DO LOTE 02; Obra 1 - Pouso Alegre;360,0;0,0;0,0;360,0;2299897,16;545885,11;2845782,27;886549,39;117193,67;1003743,06;1959232,88;0,311530997766741
9422262/2024;OBRAS DE ESTABILIZAÇÃO DE TALUDES E ESTRUTURAS DE CONTENÇÃO DO TERRENO DA E.E. DOM CIRILO DE PAUA EM RAPOSOS;126199903323;2024-04-17;2024-07-01 00:00:00;2025-08-28 00:00:00;Execução concluída;SALES CONSTUÇÕES E EMPREENDIMENTOS LTDA;28065090000207,0;SECRETARIA DE ESTADO DE EDUCAÇÃO;SUBSECRETARIA DE EDIFICAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Construção e Reforma;Obra Edificação - Construção; Obra 1 -    EXECUÇÃO DAS OBRAS DE ESTABILIZAÇÃO DE TALUDES E ESTRUTURAS DE CONTENÇÃO DO TERRENO DA ESCOLA ESTADUAL DOM CIRILO DE PAULA FREITAS, RAPOSO/MG; Obra 1 - Raposos;300,0;90,0;34,0;424,0;3436141,11;735145,98;4171287,09;3339278,68;159181,62;3498460,3;832008,41;0,800539164040133
9422314/2024;ELABORAÇÃO DE PROJETOS PARA REFORMA GERAL E RESTAURAÇÃO  DA ESCOLA ESTADUAL MESTRE CANDINHO EM CODISBURGO;Não Disponível;2024-05-06;2024-07-15 00:00:00;2025-10-30 00:00:00;Rescindido;FARIA FERNANDES ENGENHARIA LTDA;19457228000133,0;SECRETARIA DE ESTADO DE EDUCAÇÃO;SUBSECRETARIA DE EDIFICAÇÕES;TOMADA DE PREÇOS;EMPREITADA POR PREÇO UNITÁRIO;Projetos Executivos;Obra Edificação - Consultoria , Fiscalização e Projeto de Obras; Obra 1 - ELABORAÇÃO DE PROJETOS PARA REFORMA GERAL E RESTAURAÇÃO DA ESCOLA ESTADUAL MESTRE CANDINHO, NO MUNICÍPIO DE CORDISBURGO; Obra 1 - Cordisburgo;270,0;0,0;203,0;473,0;302733,11;0,0;302733,11;48317,07;3447,69;51764,76;254416,04;0,159602859429548
9422318/2024;REFORMA DA ALA B DO HOSPITAL GOVERNADOR ISRAEL PINHEIRO - HGIP DO IPSEMG EM BELO HORIZONTE;Não Disponível;2024-04-18;2024-05-13 00:00:00;2026-05-12 00:00:00;Andamento;CONSTRUTORA SINARCO LTDA;3367118000140,0;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS;SUBSECRETARIA DE EDIFICAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Construção e Reforma;Obra Edificação - Reforma e/ou Ampliação; Obra 1 - REFORMA DA ALA B DO HOSPITAL GOVERNADOR ISRAEL PINHEIRO - HGIP, UNIDADE DO INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS (IPSEMG); Obra 1 - Belo Horizonte;730,0;0,0;0,0;730,0;15507577,51;3884717,3;19392294,81;7087161,07;495553,52;7582714,59;12305133,74;0,365462733494819
9423409/2024;SUPERVISÃO, MONITORAMENTO, DAS RODOVIAS CONCEDIDAS LOTE 01;1301609001;2024-04-19;2024-05-02 00:00:00;2025-05-01 00:00:00;Execução concluída;CONSORCIO SYSTRA - HOUER;54666131000131,0;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;RDC;EMPREITADA POR PREÇO UNITÁRIO;Consultoria / Assessoramento;Natureza continuada e/ou conserva; Obra 1 - SUPERVISÃO, MONITORAMENTO, DAS RODOVIAS CONCEDIDAS LOTE 01; Obra 1 - Uberlândia;365,0;0,0;0,0;365,0;3450975,04;264525,8;3715500,84;1915605,8;213282,05;2128887,85;1799895,04;0,515571354304956
9423409/2024-A;SUPERVISÃO, MONITORAMENTO, DAS RODOVIAS CONCEDIDAS LOTE 01;1301609001;2024-04-19;2025-05-01 00:00:00;2026-04-22 00:00:00;Andamento;CONSORCIO SYSTRA - HOUER;54666131000131,0;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;RDC;EMPREITADA POR PREÇO UNITÁRIO;Consultoria / Assessoramento;Natureza continuada e/ou conserva; Obra 1 - SUPERVISÃO, MONITORAMENTO, DAS RODOVIAS CONCEDIDAS LOTE 01; Obra 1 - Uberlândia;357,0;0,0;0,0;357,0;3450975,04;264525,8;3715500,84;462806,03;61711,49;524517,52;3252694,81;0,1245608734676
9428099/2024;EXECUÇÃO DAS OBRAS DE ESTABILIZAÇÃO E CONTENÇÃO DE ENCOSTAS EM ÁREA URBANA EM ALÉM PARAÍBA;ñinformado;2024-05-22;2024-07-05 00:00:00;2026-02-24 00:00:00;Andamento;SALES CONSTUÇÕES E EMPREENDIMENTOS LTDA;28065090000207,0;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;SUBSECRETARIA DE EDIFICAÇÕES;RDC;EMPREITADA POR PREÇO UNITÁRIO;Construção e Reforma;Obra Edificação - Construção; Obra 1 - EXECUÇÃO DAS OBRAS DE ESTABILIZAÇÃO E CONTENÇÃO DE ENCOSTAS EM ÁREAS URBANAS, LOCALIZADAS NO MUNICÍPIO DE ALÉM PARAÍBA, NO ESTADO DE MINAS GERAIS; Obra 1 - Além Paraíba;420,0;180,0;0,0;600,0;8288886,61;0,12;8288886,73;5490158,18;2591338,42;8081496,6;2798728,55;0,662351695569617
9428106/2024;EXECUÇÃO DAS OBRAS DE ESTABILIZAÇÃO E CONTENÇÃO DE ENCOSTAS EM ÁREAS URBANAS EM MURIAÉ;Não Disponível;2024-05-22;2024-07-05 00:00:00;2026-06-29 00:00:00;Andamento;SALES CONSTUÇÕES E EMPREENDIMENTOS LTDA;28065090000207,0;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;SUBSECRETARIA DE EDIFICAÇÕES;RDC;EMPREITADA POR PREÇO UNITÁRIO;Construção e Reforma;Obra Edificação - Construção; Obra 1 - EXECUÇÃO DAS OBRAS DE ESTABILIZAÇÃO E CONTENÇÃO DE ENCOSTAS EM ÁREAS URBANAS, LOCALIZADA NO MUNICÍPIO DE MURIAÉ, NO ESTADO DE MINAS GERAIS; Obra 1 - Muriaé;365,0;360,0;0,0;725,0;4987143,76;480140,59;5467284,35;3351429,47;1629672,5;4981101,97;2115854,88;0,612997103397412
9428541/2024;EXECUÇÃO DAS OBRAS DE REFORMA E RESTAURAÇÃO DOS PRÉDIOS DO INSTITUTO DE EDUCAÇÃO DE MINAS GERAIS EM BHTE;126199903023;2024-06-12;2024-06-13 00:00:00;2027-05-28 00:00:00;Andamento;CATALUNHA ENGENHARIA LTDA;8056526000103,0;SECRETARIA DE ESTADO DE EDUCAÇÃO;SUBSECRETARIA DE EDIFICAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Construção e Reforma;Obra Edificação - Reforma e/ou Ampliação; Obra 1 - EXECUÇÃO DAS OBRAS DE REFORMA E RESTAURAÇÃO DOS PRÉDIOS DO INSTITUTO DE EDUCAÇÃO DE MINAS GERAIS, BELO HORIZONTE/MG; Obra 1 - Belo Horizonte;1080,0;0,0;0,0;1080,0;40219126,86;5277441,24;45496568,1;7841436,76;611590,17;8453026,93;37655131,34;0,172352269357213
9439923;REPAROS PREVENTIVOS E CORRETIVOS, INSTALAÇÕES, ADAPTAÇÕES, RECUPERAÇÃO E MODERNIZAÇÃO DE EDIFICAÇÕES, POR REGIÃO;Não Disponível;2024-10-08;;;A Iniciar;BDT ENGENHARIA LTDA;40456487000136,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA  DE PLANEJAMENTO, GESTÃO E PLANEJAMENTO;PREGÃO ELETRÔNICO;EMPREITADA POR PREÇO GLOBAL;Modernização;Obra Edificação - Reforma e/ou Ampliação; Obra 1 - Reparos preventivos e corretivos, instalações, adaptações, recuperação e modernização de edificações; Obra 1 - Araxá;0,0;0,0;0,0;0,0;1581404,31;0,0;1581404,31;0,0;0,0;0,0;1581404,31;0,0
9440724/2024;2º ETAPA DO COMPLEMENTO DAS OBRAS DA REQUALIFICAÇÃO URBANA E AMBIENTAL DO RIBEIRÃO ARRUDAS;130101705823;2024-10-24;2024-11-04 00:00:00;2025-10-29 00:00:00;Execução concluída;LOCPAV - LOCAÇÃO E PAVIMENTAÇÃO LTDA;8055090000120,0;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;SUBSECRETARIA DE EDIFICAÇÕES;Concorrência - Concorrência eletrônica;EMPREITADA POR PREÇO UNITÁRIO;Construção e Reforma;Obra Edificação - Construção; Obra 1 - EXECUÇÃO DA SEGUNDA ETAPA DO COMPLEMENTO DAS OBRAS DE DRENAGEM, CONTENÇÃO, REABILITAÇÃO E RECOMPOSIÇÃO DE PAVIMENTO DO RIBEIRÃO ARRUDAS; Obra 1 - Contagem;360,0;0,0;0,0;360,0;7488232,9;1869279,54;9357512,44;8038373,37;551846,09;8590219,46;1319139,07;0,859028873489801
9440801/2024;EXECUÇÃO DE OBRA DO MURO INTERNO DO GINÁSIO JORNALISTA FELIPE DRUMOND (MINEIRINHO) DE BELO HORIZONTE.;1301017019/2024;2024-10-24;2024-11-25 00:00:00;2025-03-29 00:00:00;Execução concluída;RPG CONSTRUTORA EIRELI;31120282000194,0;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;SUBSECRETARIA DE EDIFICAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Construção e Reforma;Obra Edificação - Construção; Obra 1 - EXECUÇÃO DE OBRA DO MURO INTERNO DO GINÁSIO JORNALISTA FELIPE DRUMOND (MINEIRINHO), LOCALIZADO NO MUNICÍPIO DE BELO HORIZONTE; Obra 1 - Belo Horizonte;125,0;0,0;0,0;125,0;165390,18;0,0;165390,18;141140,39;0,0;141140,39;24249,79;0,853378296099563
9442805;SERVIÇOS DE CONTINUIDADE TECNOLÓGICA E EXPANSÃO DO LICENCIAMENTO DE USO DE SOFTWARE PARA O DEPARTAMENTO DE ESTRADAS DE RODAGEM DE MINAS GERAIS (DER-MG;2301403992024;2024-11-25;2024-11-28 00:00:00;2026-11-27 00:00:00;Andamento;IMAGEM GEOSISTEMAS E COMERCIO LTDA;67393181000134,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;GERÊNCIA DE COORDENAÇÃO E CONTROLE;Dispensa de Licitação - Bens, serviços, alienações;EMPREITADA POR PREÇO UNITÁRIO;Prestação de Serviços de Informática;Obra Rodoviária - Consultoria , Fiscalização e Projeto de Obras; Obra 1 - Serviços de continuidade tecnológica e expansão do licenciamento de uso de software para o Departamento de Estradas de Rodagem de Minas Gerais ; Obra 1 - Belo Horizonte;730,0;0,0;0,0;730,0;7278955,82;0,0;7278955,82;4580524,42;0,0;4580524,42;2698431,4;0,6292831737506
9445605/2024;CONTRATAÇÃO DE SERVIÇOS DE REPAROS PREVENTIVOS E CORRETIVOS, INSTALAÇÕES, ADAPTAÇÕES, RECUPERAÇÃO E MODERNIZAÇÃO DE EDIFICAÇÕES E DEMAIS INSTALAÇÕES;130117352024;2024-12-03;2024-12-04 00:00:00;2026-12-03 00:00:00;Andamento;CETUS CONSTRUTORA LTDA;32227070000173,0;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;SUBSECRETARIA DE EDIFICAÇÕES;REGISTRO DE PRECOS;NÃO DISPONÍVEL;Ampliação e Reforma;Obra Edificação - Reforma e/ou Ampliação; Obra 1 - CONTRATAÇÃO DE SERVIÇOS DE REPAROS PREVENTIVOS E CORRETIVOS, INSTALAÇÕES, ADAPTAÇÕES, RECUPERAÇÃO E MODERNIZAÇÃO DE EDIFICAÇÕES E DEMAIS INSTALAÇÕES; Obra 1 - Belo Horizonte;365,0;365,0;0,0;730,0;7150184,18;0,0;7150184,18;200940,17;3596,79;204536,96;6949244,01;0,0281027963674077
9445605/2024 OS1;CONTRATAÇÃO DE SERVIÇOS DE REPAROS PREVENTIVOS E CORRETIVOS, INSTALAÇÕES, ADAPTAÇÕES, RECUPERAÇÃO E MODERNIZAÇÃO DE EDIFICAÇÕES E DEMAIS INSTALAÇÕES;130117352024;2024-12-03;2025-01-06 00:00:00;2025-01-30 00:00:00;Execução concluída;CETUS CONSTRUTORA LTDA;32227070000173,0;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;SUBSECRETARIA DE EDIFICAÇÕES;REGISTRO DE PRECOS;NÃO DISPONÍVEL;Ampliação e Reforma;Obra Específica; Obra 1 - EXECUÇÃO DO TAPUME DE ISOLAMENTO DO CENTRO COMERCIAL; Obra 1 - Contagem;15,0;10,0;0,0;25,0;33882,82;0,0;33882,82;33881,56;1772,0;35653,56;1,26;0,999962813012612
9445605/2024 OS2;CONTRATAÇÃO DE SERVIÇOS DE REPAROS PREVENTIVOS E CORRETIVOS, INSTALAÇÕES, ADAPTAÇÕES, RECUPERAÇÃO E MODERNIZAÇÃO DE EDIFICAÇÕES E DEMAIS INSTALAÇÕES;130117352024;2024-12-03;2025-01-06 00:00:00;2025-02-04 00:00:00;Execução concluída;CETUS CONSTRUTORA LTDA;32227070000173,0;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;SUBSECRETARIA DE EDIFICAÇÕES;REGISTRO DE PRECOS;NÃO DISPONÍVEL;Ampliação e Reforma;Obra Específica; Obra 1 - EXECUÇÃO DO MURO EM PRE MOLDADO DO LOTE 11 QUADRA 11; Obra 1 - Contagem;30,0;0,0;0,0;30,0;43606,36;0,0;43606,36;34890,9;1824,79;36715,69;8715,46;0,800133283310049
9445605/2024 OS3;SERVIÇOS DE MANUTENÇÃO E ADEQUAÇÃO PARA OCUPAÇÃO DO PRÉDIO DA ANTIGA IMPRENSA OFICIAL;130117352024;2024-12-03;2025-08-08 00:00:00;2026-12-03 00:00:00;Andamento;CETUS CONSTRUTORA LTDA;32227070000173,0;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;SUBSECRETARIA DE EDIFICAÇÕES;REGISTRO DE PRECOS;NÃO DISPONÍVEL;Ampliação e Reforma;Obra Específica; Obra 1 - SERVIÇOS DE MANUTENÇÃO E ADEQUAÇÃO PARA OCUPAÇÃO DO PRÉDIO DA ANTIGA IMPRENSA OFICIAL; Obra 1 - Belo Horizonte;118,0;365,0;0,0;483,0;6871059,81;0,0;6871059,81;132167,71;0,0;132167,71;6738892,1;0,019235418356808
9445755/2024;EXEC.OBRAS E SERV.ENG.NECESSÁRIOS PARA IMPLANTAÇÃO DE 48 UNID.HABITACIONAIS DO REASSENTAMENTO SANTA ELIZABETH-CONTAGEM;130101702524;2024-12-17;2025-01-06 00:00:00;2027-01-05 00:00:00;Andamento;PETREL ENGENHARIA LTDA;42986323000146,0;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;DIRETORIA DE INFRAESTRUTURA E EQUIPAMENTOS PÚBLICOS;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Construção e Reforma;Obra Edificação - Construção; Obra 1 - EXEC.OBRAS E SERV.ENG.NECESSÁRIOS PARA IMPLANTAÇÃO DE 48 UNID.HABITACIONAIS DO REASSENTAMENTO SANTA ELIZABETH-CONTAGEM; Obra 1 - Contagem;730,0;0,0;0,0;730,0;10879685,12;2251209,92;13130895,04;4866727,43;566789,29;5433516,72;8264167,61;0,37063181262014
9447043/2024;SUPERVISÃO, MONITORAMENTO, DAS RODOVIAS CONCEDIDAS - MG-050;Não Disponível;2024-12-20;2025-01-06 00:00:00;2026-01-05 00:00:00;Andamento;CONSOL ENGENHEIROS CONSULTORES LTDA;17210063000175,0;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;CONCORRÊNCIA PRESENCIAL;EMPREITADA POR PREÇO UNITÁRIO;Supervisão;Obra Rodoviária - Consultoria , Fiscalização e Projeto de Obras; Obra 1 - Supervisão Geral do desempenho da Concessionária, no que tange às obras e serviços de apoio à fiscalização na MG-050; Obra 1 - Formiga;365,0;0,0;0,0;365,0;5760127,9;0,0;5760127,9;4719431,9;151399,75;4870831,65;1040696,0;0,819327622916151
9452385/2025;EXECUÇÃO DAS OBRAS DE REFORÇOS ESTRUTURAIS, PSCIP E REFORMAS COMPLEMENTARES NA EE. DOM SILVÉRIO, EM CRUCILANDIA/MG;126199900324;2025-03-11;2025-04-07 00:00:00;2026-04-01 00:00:00;Andamento;CONSTRUTORA E INCORPORADORA TERSAN LTDA;43730128000113,0;SECRETARIA DE ESTADO DE EDUCAÇÃO;SUBSECRETARIA DE EDIFICAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Construção e Reforma;Obra Edificação - Reforma e/ou Ampliação; Obra 1 - EXECUÇÃO DAS OBRAS DE REFORÇOS ESTRUTURAIS, PSCIP E REFORMAS COMPLEMENTARES NA EE. DOM SILVÉRIO, EM CRUCILANDIA/MG; Obra 1 - Crucilândia;360,0;0,0;0,0;360,0;1797077,21;0,0;1797077,21;511512,7;36521,98;548034,68;1285564,51;0,284635906099994
9458873/2025;PRESTAÇÃO DE SERV.DE APOIO TÉCNICO Á FISCALIZAÇÃO DAS OBRAS DE CONCLUSÃO DA CONSTRUÇÃO DO HOSP.REGIONAL DE TEÓFILO OTONI;1320043002/24;2025-04-01;2025-04-07 00:00:00;2026-02-05 00:00:00;Andamento;PORTO ASSUNÇÃO ENGENHARIA LTDA.;6045864000106,0;SECRETARIA DE ESTADO DE SAÚDE;SUBSECRETARIA DE EDIFICAÇÕES;CONCORRÊNCIA PRESENCIAL;EMPREITADA POR PREÇO UNITÁRIO;Consultoria;Obra Edificação - Consultoria , Fiscalização e Projeto de Obras; Obra 1 - RESTAÇÃO DE SERVIÇOS DE APOIO TÉCNICO Á FISCALIZAÇÃO DAS OBRAS DE CONCLUSÃO DA CONSTRUÇÃO DO HOSPITAL REGIONAL DE TEÓFILO OTONI, NO MUNICÍPIO DE TEÓFI; Obra 1 - Teófilo Otoni;305,0;0,0;0,0;305,0;1173622,34;0,0;1173622,34;1005145,09;22297,81;1027442,9;168477,25;0,85644679360824
9460034/2025;SERVIÇOS COMUNS DE CONFECÇÃO DIVISÓRIAS, PISO ELEVADO, ELABORAÇÃO PROJETO, FORNECIMENTO, INSTALAÇÃO, MONTAGEM, DESMONTAGEM E MANUTENÇÃO DE DIVISÓRIAS;Não Disponível;2025-04-15;2025-04-16 00:00:00;2026-04-15 00:00:00;Andamento;MARCENARIA SULAR LTDA;89278519000140,0;SECRETARIA DE ESTADO DE SAÚDE;SUBSECRETARIA DE EDIFICAÇÕES;REGISTRO DE PRECOS;NÃO DISPONÍVEL;Modernização;Obra Edificação - Consultoria , Fiscalização e Projeto de Obras; Obra 1 - Serviços de confecção de divisórias, piso elevado, elaboração de projeto, fornecimento, instalação, montagem, desmontagem e manutenção de divisórias; Obra 1 - Teófilo Otoni;365,0;0,0;0,0;365,0;1534968,0;0,0;1534968,0;0,0;0,0;0,0;1534968,0;0,0
9469997/2025;PRESTAÇÃO DE SERVIÇOS ESPECIALIZADOS DE ARQUITETURA E/OU ENGENHARIA CONSULTIVA PARA A SUBEDIF;1301017026/24;2025-05-30;2025-06-02 00:00:00;2027-05-22 00:00:00;Andamento;CONSORCIO MCGC;60978447000161,0;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;SUBSECRETARIA DE EDIFICAÇÕES;CONCORRÊNCIA PRESENCIAL;EMPREITADA POR PREÇO UNITÁRIO;Consultoria;Obra Edificação - Consultoria , Fiscalização e Projeto de Obras; Obra 1 - PRESTAÇÃO DE SERVIÇOS ESPECIALIZADOS DE ARQUITETURA E/OU ENGENHARIA CONSULTIVA PARA A SUBEDIF; Obra 1 - Belo Horizonte;720,0;0,0;0,0;720,0;21765965,24;0,0;21765965,24;5367887,81;220083,34;5587971,15;16398077,43;0,246618413234221
9470105/2025;REFORMA DAS FACHADAS DO PRÉDIO DA SECRETARIA DE FAZENDA (SEF) - ANEXO II - E SERVIÇOS DE MANUTENÇÃO CORRELATOS - BELO HORIZONTE/ MG;1194001001/25;2025-06-09;2025-07-14 00:00:00;2027-03-05 00:00:00;Andamento;M BORGES ENGENHARIA LTDA;65364226000117,0;SECRETARIA DE ESTADO DE FAZENDA;SUBSECRETARIA DE EDIFICAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Construção e Reforma;Obra Edificação - Reforma e/ou Ampliação; Obra 1 - REFORMA DAS FACHADAS DO PRÉDIO DA SECRETARIA DE FAZENDA (SEF) - ANEXO II - E SERVIÇOS DE MANUTENÇÃO CORRELATOS - BELO HORIZONTE/ MG; Obra 1 - Belo Horizonte;600,0;0,0;0,0;600,0;8539098,34;0,0;8539098,34;410692,26;30966,16;441658,42;8128406,08;0,0480955065333046
9470716/2025;CONCLUSÃO DAS OBRAS DAS UNIDADES HABITACIONAIS DA ÁREA 08 DO CORREGO FERRUGEM EM CONTAGEM;Não Disponível;2025-07-07;2025-08-06 00:00:00;2027-08-05 00:00:00;Andamento;PETREL ENGENHARIA LTDA;42986323000146,0;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;SUBSECRETARIA DE EDIFICAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Construção e Reforma;Obra Edificação - Construção; Obra 1 - CONCLUSÃO DAS OBRAS DAS UNIDADES HABITACIONAIS DA ÁREA 08 DO CORREGO FERRUGEM EM CONTAGEM; Obra 1 - Contagem;730,0;0,0;0,0;730,0;17307984,42;0,0;17307984,42;1240452,84;91916,81;1332369,65;16067531,58;0,071669398925886
9471106/2025;PRESTAÇÃO DE SERVIÇOS DE APOIO TÉCNICO Á FISCALIZAÇÃO DAS OBRAS DO HOSPITAL REGIONAL DE GOVERNADOR VALADARES;1320043002/25;2025-07-04;2025-07-22 00:00:00;2026-08-20 00:00:00;Andamento;CONSORCIO GV MINAS GERAIS;61473993000103,0;SECRETARIA DE ESTADO DE SAÚDE;SUBSECRETARIA DE EDIFICAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Consultoria;Obra Edificação - Consultoria , Fiscalização e Projeto de Obras; Obra 1 - PRESTAÇÃO DE SERVIÇOS DE APOIO TÉCNICO Á FISCALIZAÇÃO DAS OBRAS DO HOSPITAL REGIONAL DE GOVERNADOR VALADARES; Obra 1 - Governador Valadares;395,0;0,0;0,0;395,0;1124265,48;0,0;1124265,48;298884,57;11289,17;310173,74;825380,91;0,265848747753066
9471997/2025;CONSTRUÇÃO DE 12 UN.HABITACIONAIS DO EXÉRCITO -VILA MILITAR EDIFÍCIO PNR ST/SGT,DO 4 COMANDO DA REGIÃO DE MONTES CLAROS;1301017037/24;2025-07-25;2025-08-04 00:00:00;2027-02-04 00:00:00;Andamento;LAGOTELA LTDA;20368585000104,0;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;SUBSECRETARIA DE EDIFICAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Construção e Reforma;Obra Edificação - Construção; Obra 1 - CONSTRUÇÃO DE 12 UN.HABITACIONAIS DO EXÉRCITO -VILA MILITAR EDIFÍCIO PNR ST/SGT,DO 4 COMANDO DA REGIÃO DE MONTES CLAROS; Obra 1 - Montes Claros;550,0;0,0;0,0;550,0;8229859,24;-671,63;8229187,61;550029,6;40757,17;590786,77;7679158,01;0,0668388698942301
9472504/2025;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM ARQUITETURA E ENGENHARIA PARA ELABORAR ESTUDOS, ANÁLISES E PROJETOS EXECUTIVO;1301017007/25;2025-08-13;2025-09-01 00:00:00;2026-08-26 00:00:00;Andamento;CONSORCIO E&P MINAS;61797748000151,0;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;SUBSECRETARIA DE EDIFICAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Consultoria;Obra Edificação - Consultoria , Fiscalização e Projeto de Obras; Obra 1 - CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM ARQUITETURA E ENGENHARIA PARA ELABORAR ESTUDOS, ANÁLISES E PROJETOS EXECUTIVO; Obra 1 - Minas Gerais;360,0;0,0;0,0;360,0;4296601,11;0,0;4296601,11;296229,65;9577,61;305807,26;4000371,46;0,0689451132222977
9472504/2025 OS1;ELABORAÇÃO DE PROJETOS PARA REFORMA E AMPLIAÇÃO DO HEMONÚCLEO DE SETE LAGOAS;1301017007/25;2025-08-13;2025-09-01 00:00:00;2026-09-07 00:00:00;Paralisado;CONSORCIO E&P MINAS;61797748000151,0;HEMOMINAS;SUBSECRETARIA DE EDIFICAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Consultoria;Projeto Específico; Obra 1 - ELABORAÇÃO DE PROJETOS PARA REFORMA E AMPLIAÇÃO DO HEMONÚCLEO DE SETE LAGOAS; Obra 1 - Sete Lagoas;300,0;0,0;72,0;372,0;339709,27;0,0;339709,27;1746,99;0,0;1746,99;337962,28;0,00514260326190098
9472504/2025 OS2;ELABORAÇÃO DE PROJETOS DE REFORMA DO HEMOCENTRO DE GOVERNADOR VALADARES;1301017007/25;2025-08-13;2025-09-01 00:00:00;2026-06-27 00:00:00;Andamento;CONSORCIO E&P MINAS;61797748000151,0;HEMOMINAS;SUBSECRETARIA DE EDIFICAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Consultoria;Projeto Específico; Obra 1 - ELABORAÇÃO DE PROJETOS DE REFORMA DO HEMOCENTRO DE GOVERNADOR VALADARES; Obra 1 - Governador Valadares;300,0;0,0;0,0;300,0;522440,12;0,0;522440,12;69164,92;2496,84;71661,76;453275,2;0,132388224702192
